 v1 v2 v4 v3 v5 v6 v7 v8
 1 1 1 1 1 0 1 1
 1 1 1 0 1 0 0 0
 1 1 1 1 0 1 1 1
 0 0 0 0 1 0 0 0
 0 0 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 0 0 1 1 1 0 1 1
 1 1 1 1 1 1 0 0
 1 1 0 1 1 0 1 1
 0 0 0 0 1 1 1 1
 1 1 1 1 1 1 1 0
 1 1 1 1 1 0 1 1
 1 0 0 0 0 0 1 1
 1 1 1 1 1 0 0 0
 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 1 1
 1 1 0 0 0 0 0 0
 0 0 0 1 0 0 0 0
 0 0 0 0 1 1 1 1
 1 1 0 0 1 0 1 1
 1 1 1 0 1 0 1 1
 0 0 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 1 0 1 1
 1 0 1 1 1 1 0 0
 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 0 1 1 1 0 1 0 0
 1 1 1 1 0 1 1 1
 1 0 0 0 0 1 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 1
 0 0 1 1 1 1 1 0
 1 1 1 0 1 1 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 0
 1 1 1 1 1 1 1 1
 0 0 1 1 0 1 0 0
 0 1 1 1 0 1 1 1
 1 0 0 0 1 1 1 1
 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1
 1 1 0 0 1 0 0 0
 1 1 1 1 1 1 0 0
 1 0 0 0 0 0 0 0
 1 1 0 0 0 1 0 0
 1 1 0 0 0 0 0 0
 1 0 1 1 0 1 0 0
 0 0 1 1 1 1 0 0
 1 1 1 1 1 1 0 0
 1 1 1 1 1 1 1 1
 0 0 1 1 0 1 0 0
 1 0 0 0 1 0 1 1
 1 1 1 1 1 1 1 1
 1 1 0 0 0 1 0 0
 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 1 1
 1 1 0 0 0 0 0 0
 1 1 1 0 1 1 0 0
 0 0 0 0 0 0 0 0
 0 0 1 1 1 1 1 1
 1 1 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 0 0 0 0
 0 0 0 0 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 0 1 1 0 0 0
 1 1 0 0 1 0 1 0
 1 1 1 1 0 1 0 0
 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 0
 1 1 1 1 0 1 0 0
 1 1 1 1 1 1 0 0
 0 0 1 1 1 0 1 1
 1 1 1 1 1 1 0 0
 1 1 0 0 0 0 1 1
 1 1 1 1 0 1 0 0
 0 0 0 1 0 0 0 0
 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0
 0 0 1 1 1 1 0 0
 0 0 0 0 0 0 0 0
 0 0 1 1 1 1 1 1
 0 0 0 0 0 0 0 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 0 0
 0 0 0 0 0 1 1 1
 1 1 1 0 1 1 1 1
 0 0 1 1 0 1 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 1 1 0 1 1 0
 0 0 1 0 1 1 1 1
 0 0 1 1 1 1 0 0
 1 1 0 1 0 0 0 0
 1 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 0
 0 0 1 1 1 0 0 0
 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 1 1
 0 1 1 0 1 1 1 1
 1 1 1 0 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0
 1 1 0 0 1 0 0 0
 0 0 0 0 0 0 1 1
 0 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 1
 1 0 0 0 0 0 0 0
 1 1 1 1 1 1 0 0
 0 0 1 0 0 1 0 0
 1 1 0 0 0 0 0 0
 1 1 1 0 1 1 1 1
 0 0 1 1 1 1 1 0
 0 1 1 0 0 1 1 1
 0 0 0 0 0 0 0 0
 0 0 1 0 0 1 0 0
 1 1 0 0 0 0 0 0
 1 1 1 0 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 0
 0 0 0 1 1 0 1 0
 1 1 1 1 1 1 1 1
 1 1 0 0 0 0 0 0
 0 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 1
 0 1 1 1 1 1 1 1
 0 0 0 0 1 0 1 1
 1 1 0 0 0 0 0 0
 1 1 1 1 0 0 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 1
 1 1 1 1 0 1 0 0
 1 1 0 0 0 0 0 0
 1 1 1 1 0 1 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 0 0
 1 1 1 1 0 1 0 1
 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 0
 0 0 1 0 0 1 1 1
 0 0 0 0 1 0 1 1
 1 1 1 0 0 1 0 0
 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 1 1
 0 0 0 0 0 1 0 0
 1 1 1 1 1 0 1 1
 0 0 0 0 0 1 0 0
 1 1 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 1 0 0 0 0 0 0 0
 1 1 1 1 1 1 0 0
 0 0 1 1 1 0 0 0
 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 1
 1 0 0 1 0 0 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 0 0
 0 0 0 0 0 0 0 1
 0 0 0 0 1 0 1 1
 0 0 0 0 0 0 1 1
 0 0 0 0 0 1 0 0
 0 0 1 1 1 0 1 1
 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 0 1 1 1 1 1 1 0
 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1
 1 1 1 0 1 1 1 1
 1 1 1 1 0 1 0 1
 1 1 1 1 1 1 1 0
 1 1 1 1 0 1 0 0
 0 0 0 0 1 0 1 1
 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 1 1
 0 0 1 1 1 1 1 0
 0 0 0 0 0 0 0 0
 0 0 1 1 1 1 1 0
 0 1 1 1 1 1 0 0
 0 0 0 0 1 0 1 1
 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0
 0 0 0 0 0 0 0 1
 1 1 1 1 1 1 0 0
 0 0 1 0 1 1 0 0
 0 0 1 1 1 1 1 0
 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 1
 0 0 1 1 1 1 1 1
 1 1 0 0 0 0 0 0
 0 0 1 0 1 1 1 0
 0 0 0 0 1 0 0 0
 1 1 1 0 1 1 1 1
 1 1 1 1 1 1 1 1
 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 1 1
 1 1 1 1 0 1 0 0
 0 0 0 0 0 0 1 1
 1 1 0 0 0 0 0 0
 1 1 1 1 1 0 1 1
 0 0 0 0 0 0 1 1
 1 1 1 1 0 1 0 0
 0 0 0 0 0 0 0 1
 1 1 0 0 0 0 0 1
 1 0 0 0 0 0 1 1
 0 0 0 0 0 0 0 0
 0 1 1 0 1 1 1 1
 1 1 1 1 0 1 1 1
 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1
 1 0 0 0 1 0 0 0
 0 0 0 0 0 1 0 0
 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0
 1 0 1 1 0 1 1 1
 0 0 1 1 1 0 1 1
 0 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 0
 0 1 1 1 1 1 0 0
 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 1 1
 1 1 1 1 0 0 0 0
 0 0 1 1 1 1 1 1
 0 0 0 1 0 0 0 0
 0 0 1 1 1 0 1 1
 0 0 0 0 1 0 1 0
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 0
 0 0 0 0 0 1 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 1 0 1 0
 0 0 0 0 1 1 1 1
 0 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 1
 0 0 1 1 1 1 1 1
 0 0 0 1 0 0 0 0
 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 0
 1 1 1 1 0 0 1 1
 1 1 1 1 0 1 0 0
 0 0 0 0 1 0 1 1
 1 1 1 0 1 1 1 1
 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0
 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 0 0
 1 1 1 1 0 1 0 0
 1 1 0 0 0 0 0 0
 1 0 0 0 1 0 1 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 0 0 0 0 0 1 0 0
 1 1 1 1 0 1 0 0
 1 1 1 1 0 1 0 0
 1 0 1 1 1 1 1 1
 1 1 1 1 0 1 0 0
 1 1 1 1 0 0 0 0
 1 1 0 0 0 0 0 0
 1 0 0 0 0 0 1 1
 1 1 1 1 0 0 0 0
 0 0 1 1 1 1 0 0
 1 1 0 0 0 0 1 1
 0 1 1 1 1 1 0 0
 1 1 1 1 0 1 1 0
 0 0 0 0 0 0 1 1
 0 0 0 0 0 0 0 0
 0 1 1 1 1 1 0 1
 1 1 0 0 0 0 0 0
 0 0 0 1 0 1 0 0
 1 1 0 0 0 0 0 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 0
 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 1 0 1 1
 1 1 1 1 1 1 1 1
 0 0 0 1 0 0 1 1
 1 1 0 1 1 0 0 0
 0 0 0 1 0 0 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1
 0 0 0 0 0 0 0 1
 0 1 1 1 1 1 0 0
 0 0 0 0 1 0 1 1
 0 0 0 1 0 0 0 0
 1 1 1 1 1 1 1 1
 1 1 0 0 1 1 1 1
 1 1 1 1 0 0 1 1
 0 0 0 1 0 0 0 0
 1 1 1 1 0 1 0 0
 1 1 1 1 1 1 1 1
 0 0 0 1 1 0 1 1
 1 1 1 1 0 1 0 0
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1
 0 0 0 0 1 0 1 0
 0 0 0 1 0 0 0 0
 1 1 1 1 1 1 0 0
 0 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 0
 0 1 1 1 1 1 1 1
 0 0 0 0 1 1 1 1
 1 1 1 1 1 0 1 1
 0 1 1 1 1 1 0 0
 0 0 0 0 1 0 1 1
 1 1 1 1 1 0 0 0
 1 1 1 1 1 1 1 1
 0 0 0 0 1 1 1 1
 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 1 1
 1 0 0 0 1 0 1 1
 1 1 1 1 1 1 1 1
 0 1 1 1 1 1 1 0
 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 1 1
 0 1 0 0 0 0 0 1
 0 0 0 0 0 0 0 1
 0 1 1 1 1 1 1 1
 0 0 0 0 1 1 1 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 1 1 0 0 1 0 1 1
 1 1 1 1 1 1 1 1
 0 0 1 1 0 1 0 0
 1 1 1 1 0 0 1 1
 0 0 0 0 1 0 1 1
 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 0 0
 0 0 1 1 1 1 1 0
 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 0 0
 1 1 1 1 1 1 1 1
 1 1 1 1 0 0 0 0
 0 0 0 0 1 0 0 0
 0 1 1 1 1 0 1 1
 1 1 1 1 1 0 1 1
 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 0 0
 1 1 1 1 1 0 1 1
 1 1 0 0 0 0 0 0
 1 1 1 1 1 1 0 1
 0 0 0 0 0 0 0 0
 1 1 0 1 0 0 0 0
 1 1 0 0 0 0 0 1
 1 1 0 1 1 0 1 1
 0 1 1 1 0 1 0 1
 0 0 0 0 0 0 0 0
 1 1 0 0 0 0 1 1
 0 0 0 0 0 1 1 1
 1 1 1 0 1 1 1 1
 1 1 1 0 1 1 1 1
 0 0 0 0 0 0 0 0
 1 1 1 1 0 0 0 0
 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1
 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 0 0
 0 0 0 0 1 1 1 1
 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0
 0 0 1 1 0 1 1 1
 1 1 0 0 0 0 1 1
 0 0 0 0 0 0 0 0
 0 0 1 0 0 1 0 0
 0 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 1
 0 0 0 0 1 0 0 0
 0 0 0 0 1 0 1 1
 1 1 1 1 1 1 1 1
 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1
 0 0 1 0 1 1 1 1
