 Y1 X1 Y2 X2 Y3 X3
 0 1 0 0 0 0
 1 1 1 1 1 1
 1 1 0 0 0 0
 0 1 0 0 0 0
 1 1 1 1 0 0
 0 0 0 1 0 0
 1 1 1 0 1 0
 1 0 1 1 1 1
 0 0 0 0 0 0
 0 1 0 1 0 0
 1 0 1 1 1 1
 1 1 1 1 0 1
 1 0 1 1 0 0
 0 0 0 0 0 0
 0 1 0 0 0 1
 1 1 1 1 1 0
 1 1 1 1 0 1
 0 0 0 0 0 1
 0 0 0 0 0 1
 0 0 0 0 0 0
 0 0 0 1 0 0
 1 1 0 1 0 0
 0 0 0 1 0 0
 0 0 0 0 0 0
 0 1 0 1 0 0
 0 0 0 0 0 0
 0 0 0 0 0 0
 0 1 0 1 0 0
 0 1 0 0 0 0
 1 0 1 1 1 1
 0 0 0 1 0 0
 0 0 0 0 0 0
 0 1 1 1 1 0
 0 1 0 0 0 1
 1 1 1 0 1 0
 1 1 1 1 1 1
 0 0 0 0 0 0
 0 0 0 0 1 1
 0 1 0 0 0 0
 1 1 1 0 1 1
 0 0 0 0 0 0
 1 1 1 1 1 0
 0 0 0 1 0 1
 1 1 1 1 1 1
 0 0 0 0 0 0
 1 1 0 0 0 1
 0 0 0 0 0 1
 1 1 1 1 1 1
 0 0 0 1 0 0
 1 1 1 1 1 1
 1 1 1 0 1 0
 0 1 0 0 0 0
 0 0 0 0 0 0
 0 0 0 1 0 0
 1 0 1 0 1 1
 0 0 0 0 0 0
 0 0 0 1 0 0
 1 1 0 0 1 0
 0 0 0 1 0 1
 0 0 0 0 0 1
 1 1 1 1 1 1
 1 1 1 1 1 1
 0 0 0 0 0 1
 0 1 0 0 1 1
 0 1 0 1 1 0
 0 0 0 0 0 0
 0 0 0 0 0 1
 0 1 0 0 0 0
 0 0 0 0 0 0
 1 1 1 1 1 1
 1 1 1 1 1 0
 0 0 1 0 1 1
 0 1 1 0 1 0
 0 1 0 0 0 1
 0 0 0 0 0 1
 0 1 0 0 0 0
 1 0 1 0 1 0
 1 0 1 1 1 1
 0 0 0 0 0 0
 1 0 1 1 1 1
 1 0 1 1 1 0
 1 1 1 0 1 1
 1 1 1 1 1 1
 1 0 1 1 1 1
 0 1 1 1 1 0
 0 1 0 0 0 0
 0 1 0 0 1 1
 0 0 0 1 0 0
 0 1 0 0 1 1
 0 0 0 0 0 0
 1 1 0 0 0 0
 1 1 1 1 1 1
 0 0 0 1 0 1
 1 1 1 0 1 1
 0 1 0 0 0 0
 1 1 1 1 1 1
 1 1 1 1 1 1
 0 0 0 1 0 1
 1 0 1 0 1 1
 1 0 0 0 0 0
 0 0 0 0 0 0
 0 0 0 1 0 0
 1 1 1 1 1 1
 0 0 0 0 0 0
 0 1 0 0 0 1
 0 0 0 0 0 0
 1 0 1 1 1 1
 0 0 0 1 0 0
 1 1 1 1 1 1
 1 1 1 0 1 1
 1 1 1 0 1 1
 1 0 1 1 0 0
 0 0 0 0 0 0
 1 0 1 1 1 1
 1 1 0 0 0 1
 0 1 0 0 0 0
 1 1 1 1 1 1
 1 0 1 1 1 1
 1 0 1 1 1 1
 1 1 1 1 1 1
 1 1 1 0 0 0
 0 0 0 1 0 0
 0 0 0 1 0 0
 1 1 1 1 1 0
 1 1 1 1 1 1
 1 1 1 1 1 0
 1 1 1 1 1 1
 1 1 0 0 0 0
 0 0 1 0 1 1
 1 0 1 1 1 1
 0 0 0 0 0 0
 0 0 0 0 0 1
 0 0 0 0 0 0
 0 0 1 1 1 0
 0 0 0 1 0 0
 0 1 0 0 0 1
 1 1 1 1 1 0
 1 0 1 1 1 1
 0 0 0 0 0 0
 1 1 1 1 1 0
 0 0 0 0 0 0
 0 0 0 1 0 0
 1 1 1 0 0 0
 1 1 1 1 1 1
 1 0 1 0 1 1
 0 1 0 0 0 0
 1 1 1 1 0 0
 1 1 1 1 1 1
 1 1 1 1 1 1
 0 0 0 0 1 1
 0 0 0 0 0 0
 0 0 0 0 0 1
 0 0 0 0 0 0
 0 0 0 0 0 0
 1 1 1 1 1 1
 1 1 1 0 1 1
 1 0 1 1 1 0
 1 1 0 1 0 1
 0 0 0 0 0 0
 0 0 0 0 0 0
 1 1 1 1 1 1
 1 0 1 1 0 1
 0 1 0 0 0 0
 1 1 1 1 1 1
 0 0 0 0 0 0
 1 1 1 0 1 0
 1 0 1 1 0 0
 1 1 1 1 1 1
 1 1 1 1 1 0
 1 1 1 1 1 1
 0 0 0 0 0 1
 1 1 0 0 0 1
 0 0 1 1 1 1
 0 0 1 1 1 1
 0 0 0 0 0 0
 1 0 1 1 1 0
 1 0 1 0 1 1
 0 1 0 0 0 0
 1 1 0 0 0 0
 1 1 1 1 1 0
 0 0 0 0 0 0
 1 1 1 1 1 1
 1 1 1 1 1 1
 0 0 0 0 0 0
 0 1 0 0 0 0
 1 1 1 0 1 0
 1 1 1 1 0 1
 0 1 0 1 0 0
 0 0 0 0 0 1
 0 1 0 0 0 0
 1 1 1 1 1 0
 0 0 0 0 0 0
 1 1 1 1 1 1
 0 1 0 0 0 1
 0 0 0 1 0 0
 1 0 1 0 1 1
 0 1 0 1 0 0
 1 1 1 1 1 1
 0 0 0 0 0 0
 1 0 1 0 1 1
 0 1 1 1 1 1
 1 1 1 1 1 0
 0 1 0 1 0 0
 0 0 0 0 0 0
 0 0 0 1 0 0
 1 1 1 1 1 1
 1 1 1 0 1 0
 1 1 1 1 1 1
 0 0 0 0 0 0
 0 1 0 0 0 0
 0 1 0 0 1 1
 0 1 0 0 0 1
 1 1 1 1 1 0
 0 0 0 0 0 0
 0 0 0 0 0 1
 1 0 1 1 1 1
 0 0 0 0 0 0
 1 1 1 1 1 1
 0 1 0 0 0 1
 0 0 0 0 0 1
 1 1 1 1 1 1
 1 1 1 1 1 1
 0 1 0 0 0 0
 0 1 0 0 1 0
 1 1 1 1 1 1
 1 1 0 0 0 0
 0 1 0 0 0 0
 1 1 1 0 0 1
 0 1 0 0 0 0
 1 1 1 1 1 1
 1 0 1 0 1 1
 1 1 1 1 1 1
 1 1 1 1 1 1
 0 0 0 0 0 1
 1 0 1 1 1 0
 1 1 1 1 0 1
 0 0 1 1 1 1
 0 0 0 0 0 0
 0 0 0 0 1 1
 1 1 1 1 0 1
 1 1 1 1 1 1
 0 0 0 0 0 1
 0 0 0 1 0 0
 1 0 0 0 1 1
 1 0 1 0 1 1
 1 1 1 1 1 1
 1 1 1 1 1 1
 1 1 1 1 1 1
 1 0 1 0 1 1
 1 1 1 1 1 0
 1 0 1 1 1 0
 1 1 1 0 1 0
 0 1 0 0 0 0
 0 0 1 0 1 1
 1 1 1 1 1 1
 1 0 1 1 1 1
 1 1 0 0 0 0
 0 1 1 0 1 1
 1 0 1 0 1 1
 1 0 1 0 1 1
 1 0 1 1 1 0
 1 1 1 1 1 1
